"","logFC","logCPM","PValue","FDR","significant"
"DFG16",0.950360655948903,5.95193724386258,2.78686525561873e-05,0.000598886936051843,"No"
"ODC2",-0.892117623409229,7.49062918814929,2.80752452463514e-05,0.000600833450953942,"No"
"TMA10",0.863311265303972,10.9186193838831,2.8928966378741e-05,0.000616556036524689,"No"
"FAA4",0.884052366854354,7.74325936332797,2.98633991760192e-05,0.000633862886609031,"No"
"PCA1",0.926833389609289,6.31555839331828,3.10949036432423e-05,0.000657308187625926,"No"
"GPP1",0.871837417032182,8.48674639920709,3.12477195638197e-05,0.000657853413093587,"No"
"RAS1",0.975843665943103,5.470464451762,3.28717631828755e-05,0.000686988659276175,"No"
"GTT1",0.864171022190742,9.10228481603131,3.28969274957504e-05,0.000686988659276175,"No"
"GND2",0.864351037342517,9.0239373355342,3.31452730875255e-05,0.000689395057511223,"No"
"YAP7",-1.04494181400645,4.78094764906902,3.48442367780909e-05,0.000721833209094932,"Yes"
"BSC5",-0.957112167343854,5.61154948572248,3.65409759677115e-05,0.000753966990186365,"No"
"MTR2",0.899215160830074,6.73723045722923,3.7841396929437e-05,0.000777700772609343,"No"
"AKR1",-0.864098991082692,8.2763504746144,3.85392606931022e-05,0.00078891237600623,"No"
"MPS3",-0.943755394329369,5.77409729666101,3.88169033869613e-05,0.000791467490712884,"No"
"ENO1",0.845859112741836,11.7571875160318,4.05758687937045e-05,0.000824087939147433,"No"
"CSM4",1.22424647076846,3.68518522094831,4.26556426039904e-05,0.000862943644711195,"Yes"
"IRA2",0.90378024626337,6.3404899133264,4.82701613943558e-05,0.000972728271834119,"No"
"ISF1",0.8615859569377,7.5474390624132,5.04377991722844e-05,0.00101247039501264,"No"
"TSC10",0.884712979523791,6.68352242150056,5.12636016588843e-05,0.00102185882074427,"No"
"ADE2",-0.851979146919284,8.08600591246056,5.16691062296705e-05,0.00102185882074427,"No"
"FMP52",0.843321108872404,8.92890177421851,5.16898441996792e-05,0.00102185882074427,"No"
"AIM19",0.855183284103621,7.84759093345993,5.16947308428268e-05,0.00102185882074427,"No"
"MTC7",0.851276871479664,8.0453811996344,5.27773389806962e-05,0.00103929216190504,"No"
"CYT1",-0.836993139824638,9.72812442043213,5.36448681521567e-05,0.00105237413696977,"No"
"GAS2",1.1580227429015,3.84603213786375,5.43420153824673e-05,0.00105888365296203,"Yes"
"ODC1",-0.843599982780338,8.6063143252041,5.43856056551263e-05,0.00105888365296203,"No"
"OM45",-0.835590314846729,9.76128940834623,5.50354847053552e-05,0.00106752350295519,"No"
"YPF1",0.842803001809473,8.48282408732129,5.64514616728896e-05,0.00109090343285036,"No"
"ASN1",-0.84082463940847,8.4377768678164,5.94399881919327e-05,0.00114438549756885,"No"
"GPM1",0.827001905302223,11.7587907995561,5.9721322969157e-05,0.00114554345058246,"No"
"PHM6",-1.50683840707066,2.74139343200658,6.13151129678745e-05,0.00117177479727167,"Yes"
"RGI1",-0.83178729490693,9.138192613809,6.34568503741275e-05,0.00120824642679267,"No"
"LAC1",0.860287283419662,7.14018364642118,6.3787976852499e-05,0.00121010231545455,"No"
"FAS1",0.826163287922238,10.0624125064037,6.50094640142482e-05,0.00122877377419632,"No"
"UTR2",0.894591356569413,6.1608738219972,6.72207455598966e-05,0.00126594996819893,"No"
"MEF2",-0.882882427999122,6.25844782449027,7.63778769156113e-05,0.00143319211792011,"No"
"ERV29",0.819939919539813,8.91296112196964,8.2674729458159e-05,0.00154574882261302,"No"
"NEJ1",0.86821723773289,6.47248334347911,8.32900416155326e-05,0.0015516515306721,"No"
"MRS4",-0.898570945327346,5.77283316400951,8.76563415257141e-05,0.00162155950748754,"No"
"QCR6",-0.81432640391441,9.34410692058053,8.7668789746382e-05,0.00162155950748754,"No"
"ADK2",-0.89655350637235,5.85303427968901,8.89024689242284e-05,0.00163852628668533,"No"
"CLN2",-0.867916847473304,6.35387218391658,8.95446045787943e-05,0.00164450889047367,"No"
